1529.9934719999999: 1536, 159: 240, regular, none, regular, regular, none
97.6144896: 96, 16: 16, regular, regular, none, none, none
189.48221759999998: 192, 31: 31, regular, none, none, none, none
97.6144896: 96, 16: 16, regular, none, none, none, none
97.6144896: 96, 16: 16, none, regular, none, none, none
189.48221759999998: 192, 31: 31, regular, none, regular, regular, none
99.473664: 96, 16: 16, regular, none, regular, regular, none
93.25656: 96, 15: 15, regular, none, regular, regular, none
193.0978592: 192, 31: 31, none, regular, regular, none, regular
479.63016639999995: 480, 77: 77, regular, none, regular, regular, none
93.43444799999999: 96, 15: 15, regular, none, regular, regular, none
193.0978592: 192, 31: 31, none, regular, regular, none, regular
478.5523392: 480, 78: 78, regular, none, regular, regular, none
747.1045760000001: 744, 122: 122, none, none, regular, none, none
49.0822912: 48, 8: 8, none, none, none, white, none
43.9382272: 48, 7: 7, none, none, white, none, none
50.215116800000004: 48, 8: 8, none, none, none, white, none
50.215116800000004: 48, 8: 8, none, none, white, none, none
44.0227648: 48, 7: 7, none, none, none, white, none
50.311731200000004: 48, 8: 8, none, none, white, none, none
44.0227648: 48, 7: 7, none, none, none, white, none
50.311731200000004: 48, 8: 8, none, none, white, none, none
50.215116800000004: 48, 8: 8, none, none, none, white, none
69.0457856: 72, 11: 11, none, none, none, none, regular
100.43023360000001: 96, 16: 16, none, none, none, regular, none
94.15334399999999: 96, 15: 15, none, none, regular, none, none
43.9382272: 48, 7: 7, none, white, none, none, none
49.547955200000004: 48, 8: 8, white, none, white, white, none
99.09591040000001: 96, 16: 16, regular, none, regular, regular, none
191.9983264: 192, 31: 31, none, regular, regular, none, regular
475.9984768: 480, 77: 77, regular, none, regular, regular, none
97.2506624: 96, 16: 16, regular, none, regular, regular, none
194.1409792: 192, 32: 32, none, regular, regular, none, regular
478.3959392: 480, 79: 79, none, none, none, none, regular
97.0704896: 96, 16: 16, none, none, none, none, regular
97.432576: 96, 16: 16, none, none, none, regular, none
91.172496: 96, 15: 15, none, none, regular, none, none
97.432576: 96, 16: 16, none, regular, none, none, none
97.432576: 96, 16: 16, none, regular, none, none, none
97.2506624: 96, 16: 16, none, none, regular, none, none
97.2506624: 96, 16: 16, none, regular, none, none, none
190.55308159999998: 192, 31: 31, regular, none, regular, regular, none
1441.0798272: 1440, 234: 234, none, regular, regular, none, none
768.3592: 768, 125: 125, none, none, none, regular, none
763.6491392: 768, 124: 124, none, none, none, none, regular
577.8061184000001: 576, 94: 94, none, none, none, regular, none
98.1645824: 96, 16: 16, none, none, regular, none, none
91.85712: 96, 15: 15, none, regular, none, none, none
766.9108: 768, 125: 125, none, none, regular, none, none
97.432576: 96, 16: 16, none, none, none, regular, none
674.6764704: 672, 111: 111, none, none, regular, none, none
140.059328: 144, 23: 23, none, none, none, regular, none
48.8072448: 48, 8: 8, none, white, none, none, none
74.3219328: 72, 12: 12, regular, none, none, none, none
49.6423936: 48, 8: 8, none, white, none, none, none
91.34304: 96, 15: 15, none, none, regular, none, none
97.6144896: 96, 16: 16, none, none, none, regular, none
97.432576: 96, 16: 16, none, none, none, none, regular
93.25656: 96, 15: 15, none, none, regular, none, none
74.7475584: 72, 12: 12, none, none, none, regular, none
478.71700799999996: 480, 77: 77, none, none, none, regular, none
74.7475584: 72, 12: 12, none, none, regular, none, none
97.0704896: 96, 16: 16, none, regular, none, none, none
117.6763936: 120, 19: 19, regular, none, none, none, none
477.8080384: 480, 77: 77, regular, none, none, none, none
142.72188160000002: 144, 23: 23, none, regular, none, none, none
147.2468736: 144, 24: 24, none, regular, none, none, none
98.1645824: 96, 16: 16, none, none, regular, none, none
288.35846080000005: 288, 47: 47, none, none, none, regular, none
92.029296: 96, 15: 15, none, none, none, none, regular
288.90305920000003: 288, 47: 47, regular, none, none, none, none
93.079488: 96, 15: 15, none, regular, none, none, none
291.64906240000005: 288, 47: 47, none, regular, none, none, none
93.079488: 96, 15: 15, none, none, regular, none, none
288.1838912: 288, 46: 46, none, none, regular, none, none
100.2378752: 96, 16: 16, none, none, none, regular, none
287.6308608: 288, 46: 46, none, none, none, regular, none
93.973008: 96, 15: 15, none, none, none, none, regular
287.6308608: 288, 46: 46, regular, none, none, none, none
119.0324768: 120, 19: 19, none, regular, none, none, none
262.6194816: 264, 42: 42, none, none, regular, none, none
194.2108832: 192, 31: 31, none, none, none, regular, none
195.5945472: 192, 32: 32, none, none, regular, none, none
18.3369888: 24, 3: 3, none, none, none, white, none
122.246592: 120, 20: 20, none, none, none, none, regular
97.7972736: 96, 16: 16, none, none, none, regular, none
48.8986368: 48, 8: 8, none, none, none, none, white
67.2356256: 72, 11: 11, none, none, none, regular, regular
268.9425024: 264, 44: 44, none, none, none, regular, none
42.7863072: 48, 7: 7, none, none, none, white, white
48.8986368: 48, 8: 8, none, none, none, white, white
49.6423936: 48, 8: 8, none, none, white, white, white
49.6423936: 48, 8: 8, none, none, none, white, white
49.6423936: 48, 8: 8, none, none, none, white, none
43.4370944: 48, 7: 7, none, none, none, none, white
148.6438656: 144, 24: 24, none, none, regular, none, none
43.3544608: 48, 7: 7, none, none, none, white, none
49.547955200000004: 48, 8: 8, white, white, none, none, none
130.0633824: 128, 21: 21, none, regular, regular, none, none
124.105984: 128, 20: 20, none, none, regular, regular, none
130.0633824: 128, 21: 21, none, none, none, regular, regular
130.0633824: 128, 21: 21, none, regular, regular, none, none
124.105984: 128, 20: 20, none, none, regular, regular, none
130.0633824: 128, 21: 21, none, none, none, regular, regular
130.0633824: 128, 21: 21, none, regular, regular, none, none
123.869888: 128, 20: 20, none, none, regular, regular, none
130.8082272: 128, 21: 21, none, none, none, regular, regular
193.0978592: 192, 31: 31, none, none, none, regular, regular
192.730224: 192, 31: 31, none, none, none, regular, regular
93.25656: 96, 15: 15, none, regular, none, none, none
49.736832: 48, 8: 8, none, none, none, white, none
93.43444799999999: 96, 15: 15, none, regular, none, none, none
49.8317056: 48, 8: 8, none, none, none, white, none
93.25656: 96, 15: 15, none, none, regular, none, none
24.868416: 24, 4: 4, none, none, none, white, none
24.868416: 24, 4: 4, none, none, none, none, white
142.993392: 144, 23: 23, none, none, none, none, regular
99.473664: 96, 16: 16, none, none, regular, none, none
43.519728: 48, 7: 7, none, none, none, none, white
99.473664: 96, 16: 16, none, none, regular, none, none
43.519728: 48, 7: 7, none, none, none, none, white
49.736832: 48, 8: 8, none, none, white, none, none
49.8317056: 48, 8: 8, none, none, none, none, white
49.8317056: 48, 8: 8, none, none, white, none, none
43.6027424: 48, 7: 7, none, none, none, none, white
98.7216384: 96, 16: 16, none, none, none, none, regular
49.3608192: 48, 8: 8, none, none, white, none, none
43.1907168: 48, 7: 7, none, none, none, none, white
98.7216384: 96, 16: 16, none, regular, none, none, none
98.7216384: 96, 16: 16, regular, none, none, none, none
92.726976: 96, 15: 15, none, regular, none, none, none
49.4543872: 48, 8: 8, white, none, none, none, none
49.4543872: 48, 8: 8, none, white, none, none, none
43.2725888: 48, 7: 7, white, none, none, none, none
49.3608192: 48, 8: 8, none, white, none, none, none
49.3608192: 48, 8: 8, white, none, none, none, none
49.3608192: 48, 8: 8, none, white, none, none, none
91.85712: 96, 15: 15, regular, none, none, none, none
24.495232: 24, 4: 4, none, white, none, none, none
171.7880192: 168, 28: 28, none, regular, none, none, none
92.029296: 96, 15: 15, regular, none, none, none, none
97.980928: 96, 16: 16, none, regular, none, none, none
190.1938784: 192, 31: 31, none, none, none, regular, none
98.1645824: 96, 16: 16, none, none, none, regular, none
93.973008: 96, 15: 15, none, none, regular, none, none
100.2378752: 96, 16: 16, none, regular, none, none, none
94.334496: 96, 15: 15, none, none, regular, none, none
94.334496: 96, 15: 15, none, regular, none, none, none
483.3204992: 480, 77: 77, regular, none, regular, regular, none
1341.4502528: 1344, 217: 217, regular, none, regular, regular, none
767.9933056: 768, 124: 124, none, regular, regular, none, regular
290.54452480000003: 288, 47: 47, none, regular, regular, none, regular
286.208192: 288, 47: 47, none, regular, regular, none, regular
190.504992: 192, 30: 30, regular, none, regular, regular, none
1221.6133631999999: 1224, 192: 192, regular, none, regular, regular, none
1529.9934719999999: 1536, 159: 240, regular, none, regular, regular, none
95.81145599999999: 96, 15: 15, regular, none, regular, regular, none
197.6241568: 192, 31: 31, regular, none, regular, regular, none
191.62291199999999: 192, 30: 30, regular, none, regular, regular, none
191.6357504: 192, 31: 31, regular, none, regular, regular, none
190.504992: 192, 30: 30, regular, none, regular, regular, none
192.75552: 192, 30: 30, regular, none, regular, regular, none
96.758832: 96, 15: 15, none, regular, none, regular, none
96.758832: 96, 15: 15, regular, none, none, regular, none
96.567888: 96, 15: 15, none, regular, none, regular, none
186.69791679999997: 192, 29: 29, regular, none, regular, regular, none
96.567888: 96, 15: 15, regular, none, regular, regular, none
194.67148799999998: 192, 30: 30, regular, none, regular, regular, none
97.529136: 96, 15: 15, regular, none, none, none, none
91.0271936: 96, 14: 14, regular, none, regular, regular, none
195.058272: 192, 30: 30, regular, none, regular, regular, none
97.529136: 96, 15: 15, regular, none, none, none, none
91.0271936: 96, 14: 14, regular, none, regular, regular, none
95.999952: 96, 15: 15, none, regular, none, none, none
577.130688: 576, 90: 90, none, none, none, none, regular
3071.998464: 3072, 480: 480, regular, none, none, none, none
96.949776: 96, 15: 15, regular, regular, none, none, none
194.284704: 192, 30: 30, regular, regular, none, none, none
96.949776: 96, 15: 15, none, none, regular, regular, none
90.6661952: 96, 14: 14, none, none, regular, regular, none
96.188448: 96, 15: 15, none, regular, regular, none, none
96.37776: 96, 15: 15, none, regular, regular, none, none
96.188448: 96, 15: 15, regular, none, none, none, none
99.91756799999999: 96, 15: 15, regular, regular, none, none, none
189.31199999999998: 192, 29: 29, regular, regular, none, none, none
97.33574399999999: 96, 15: 15, regular, none, none, none, none
96.188448: 96, 15: 15, regular, regular, none, none, none
192.75552: 192, 30: 30, regular, regular, none, none, none
96.188448: 96, 15: 15, regular, none, none, none, none
95.81145599999999: 96, 15: 15, regular, regular, none, none, none
191.24918399999999: 192, 30: 30, regular, regular, none, none, none
94.700064: 96, 15: 15, none, none, regular, regular, none
195.335712: 192, 31: 31, none, regular, regular, none, none
189.400128: 192, 30: 30, regular, none, none, none, none
96.188448: 96, 15: 15, regular, regular, none, none, none
192.75552: 192, 30: 30, regular, regular, none, none, none
96.188448: 96, 15: 15, regular, none, none, none, none
96.188448: 96, 15: 15, regular, regular, none, none, none
192.75552: 192, 30: 30, regular, regular, none, none, none
94.700064: 96, 15: 15, regular, none, none, none, none
94.700064: 96, 15: 15, regular, regular, none, none, none
189.767328: 192, 30: 30, regular, regular, none, none, none
101.01340160000001: 96, 16: 16, none, none, regular, regular, none
94.700064: 96, 15: 15, none, none, regular, regular, none
94.883664: 96, 15: 15, none, regular, regular, none, none
94.883664: 96, 15: 15, none, regular, regular, none, none
94.700064: 96, 15: 15, regular, none, none, none, none
101.01340160000001: 96, 16: 16, regular, regular, none, none, none
189.400128: 192, 30: 30, regular, regular, none, none, none
94.700064: 96, 15: 15, regular, none, none, none, none
94.700064: 96, 15: 15, regular, regular, none, none, none
196.0929056: 192, 31: 31, regular, regular, none, none, none
95.252496: 96, 15: 15, regular, none, regular, none, none
95.252496: 96, 15: 15, regular, regular, none, none, none
190.877088: 192, 30: 30, regular, regular, none, none, none
95.252496: 96, 15: 15, none, none, regular, regular, none
190.877088: 192, 30: 30, none, regular, regular, none, none
195.7134656: 192, 31: 31, regular, none, none, none, none
94.700064: 96, 15: 15, regular, regular, none, none, none
195.335712: 192, 31: 31, regular, regular, none, none, none
94.700064: 96, 15: 15, regular, none, none, none, none
94.700064: 96, 15: 15, regular, regular, none, none, none
189.03456: 192, 30: 30, regular, regular, none, none, none
100.2378752: 96, 16: 16, regular, none, none, none, none
93.973008: 96, 15: 15, regular, regular, none, none, none
193.8381888: 192, 31: 31, regular, regular, none, none, none
93.792672: 96, 15: 15, none, none, regular, regular, none
100.0455168: 96, 16: 16, none, none, none, none, regular
93.792672: 96, 15: 15, none, regular, regular, none, none
93.792672: 96, 15: 15, none, none, none, regular, none
100.43023360000001: 96, 16: 16, none, regular, none, none, none
94.15334399999999: 96, 15: 15, regular, regular, none, none, none
188.668992: 192, 30: 30, regular, regular, none, none, none
100.43023360000001: 96, 16: 16, regular, none, none, none, none
94.15334399999999: 96, 15: 15, regular, regular, none, none, none
188.668992: 192, 30: 30, regular, regular, none, none, none
100.0455168: 96, 16: 16, regular, none, none, none, none
93.792672: 96, 15: 15, regular, regular, none, none, none
193.4671808: 192, 31: 31, regular, regular, none, none, none
93.792672: 96, 15: 15, none, none, regular, regular, none
100.0455168: 96, 16: 16, none, none, none, none, regular
93.613152: 96, 15: 15, none, regular, regular, none, none
93.613152: 96, 15: 15, none, none, none, regular, none
100.62346240000001: 96, 16: 16, none, regular, none, none, none
94.334496: 96, 15: 15, regular, regular, none, none, none
188.668992: 192, 30: 30, regular, regular, none, none, none
100.62346240000001: 96, 16: 16, regular, none, none, none, none
94.334496: 96, 15: 15, regular, regular, none, none, none
194.9579584: 192, 31: 31, regular, regular, none, none, none
92.551536: 96, 15: 15, regular, none, none, none, none
98.7216384: 96, 16: 16, regular, regular, none, none, none
191.6357504: 192, 31: 31, regular, regular, none, none, none
92.551536: 96, 15: 15, none, none, regular, regular, none
98.7216384: 96, 16: 16, none, none, none, none, regular
92.551536: 96, 15: 15, none, regular, regular, none, none
98.7216384: 96, 16: 16, none, none, none, regular, none
94.334496: 96, 15: 15, none, regular, none, none, none
94.334496: 96, 15: 15, regular, regular, none, none, none
194.58357759999998: 192, 31: 31, regular, regular, none, none, none
94.334496: 96, 15: 15, regular, none, none, none, none
100.62346240000001: 96, 16: 16, regular, regular, none, none, none
188.30668799999998: 192, 30: 30, regular, regular, none, none, none
93.973008: 96, 15: 15, regular, none, none, none, none
100.2378752: 96, 16: 16, regular, regular, none, none, none
187.946016: 192, 30: 30, regular, regular, none, none, none
100.0455168: 96, 16: 16, none, none, regular, regular, none
93.792672: 96, 15: 15, none, none, none, none, regular
93.973008: 96, 15: 15, none, regular, regular, none, none
100.2378752: 96, 16: 16, none, none, none, regular, none
94.700064: 96, 15: 15, none, none, regular, none, none
94.700064: 96, 15: 15, regular, regular, none, none, none
195.7134656: 192, 31: 31, regular, regular, none, none, none
94.700064: 96, 15: 15, regular, none, none, none, none
94.700064: 96, 15: 15, regular, regular, none, none, none
189.767328: 192, 30: 30, regular, regular, none, none, none
98.5353728: 96, 16: 16, none, regular, none, none, none
98.5353728: 96, 16: 16, none, none, none, regular, none
92.203104: 96, 15: 15, none, none, none, none, regular
98.3499776: 96, 16: 16, none, none, none, regular, none
92.37691199999999: 96, 15: 15, none, regular, none, none, none
98.5353728: 96, 16: 16, none, none, none, regular, none
190.9122848: 192, 31: 31, none, regular, none, none, none
98.3499776: 96, 16: 16, regular, none, none, none, none
92.203104: 96, 15: 15, none, none, regular, none, none
197.0707456: 192, 32: 32, none, none, regular, none, none
92.203104: 96, 15: 15, regular, none, none, none, none
98.3499776: 96, 16: 16, none, none, regular, none, none
190.55308159999998: 192, 31: 31, regular, none, none, none, none
98.1645824: 96, 16: 16, none, regular, none, none, none
92.029296: 96, 15: 15, none, none, none, regular, none
195.961856: 192, 32: 32, none, none, none, regular, none
92.029296: 96, 15: 15, none, regular, none, none, none
98.1645824: 96, 16: 16, none, none, none, regular, none
189.838048: 192, 31: 31, none, regular, none, none, none
98.5353728: 96, 16: 16, regular, none, none, none, none
98.5353728: 96, 16: 16, none, none, regular, none, none
190.55308159999998: 192, 31: 31, none, none, regular, none, none
92.37691199999999: 96, 15: 15, regular, none, none, none, none
98.5353728: 96, 16: 16, none, none, regular, none, none
190.9122848: 192, 31: 31, regular, none, none, none, none
96.7110144: 96, 16: 16, none, regular, none, none, none
96.7110144: 96, 16: 16, none, none, none, regular, none
193.063424: 192, 32: 32, none, none, none, regular, none
96.7110144: 96, 16: 16, none, regular, none, none, none
90.66657599999999: 96, 15: 15, none, none, none, regular, none
193.4220288: 192, 32: 32, none, regular, none, none, none
98.3499776: 96, 16: 16, regular, none, none, none, none
92.203104: 96, 15: 15, none, none, regular, none, none
196.6999552: 192, 32: 32, none, none, regular, none, none
92.37691199999999: 96, 15: 15, regular, none, none, none, none
98.5353728: 96, 16: 16, none, none, regular, none, none
190.55308159999998: 192, 31: 31, regular, none, none, none, none
98.3499776: 96, 16: 16, none, regular, regular, none, none
92.203104: 96, 15: 15, none, none, none, regular, none
196.6999552: 192, 32: 32, none, none, none, regular, none
92.203104: 96, 15: 15, none, regular, none, none, none
98.3499776: 96, 16: 16, none, none, none, regular, none
190.1938784: 192, 31: 31, none, regular, none, none, none
99.473664: 96, 16: 16, regular, none, none, none, none
93.25656: 96, 15: 15, none, none, regular, none, none
193.0978592: 192, 31: 31, none, none, regular, none, none
93.25656: 96, 15: 15, regular, none, none, none, none
99.473664: 96, 16: 16, none, none, regular, none, none
283.003488: 288, 45: 45, regular, none, regular, regular, none
768.7405440000001: 768, 122: 122, none, regular, regular, none, regular
767.2539008000001: 768, 122: 122, regular, none, none, none, none
99.09591040000001: 96, 16: 16, none, regular, none, none, none
191.6357504: 192, 31: 31, regular, none, none, none, none
97.6144896: 96, 16: 16, none, regular, none, none, none
97.432576: 96, 16: 16, none, regular, none, none, none
189.1280736: 192, 31: 31, regular, none, none, none, none
94.334496: 96, 15: 15, none, regular, none, none, none
100.62346240000001: 96, 16: 16, none, regular, none, none, none
283.55184: 288, 45: 45, none, regular, none, none, none
95.999952: 96, 15: 15, none, regular, none, none, none
287.0803328: 288, 46: 46, regular, none, regular, regular, none
769.0999104: 768, 123: 123, none, regular, regular, none, regular
766.5430016: 768, 124: 124, regular, none, none, none, none
99.09591040000001: 96, 16: 16, regular, regular, none, none, none
192.730224: 192, 31: 31, regular, regular, none, none, none
97.7972736: 96, 16: 16, none, none, regular, regular, none
91.684944: 96, 15: 15, none, none, regular, regular, none
97.7972736: 96, 16: 16, none, regular, regular, none, none
97.7972736: 96, 16: 16, none, regular, regular, none, none
92.902416: 96, 15: 15, regular, none, none, none, none
99.09591040000001: 96, 16: 16, regular, regular, none, none, none
191.6357504: 192, 31: 31, regular, none, none, none, none
92.902416: 96, 15: 15, regular, none, none, none, none
99.09591040000001: 96, 16: 16, regular, regular, none, none, none
285.67382080000004: 288, 47: 47, regular, none, regular, none, none
97.2506624: 96, 16: 16, regular, regular, none, none, none
188.77561599999999: 192, 31: 31, regular, regular, none, none, none
97.432576: 96, 16: 16, none, none, regular, regular, none
194.5013248: 192, 32: 32, none, regular, regular, none, none
192.730224: 192, 31: 31, regular, none, none, none, none
93.25656: 96, 15: 15, regular, regular, none, none, none
193.0978592: 192, 31: 31, regular, none, none, none, none
93.43444799999999: 96, 15: 15, regular, none, none, none, none
99.6634112: 96, 16: 16, regular, regular, none, none, none
285.986784: 288, 46: 46, regular, none, none, none, none
98.3499776: 96, 16: 16, regular, regular, none, none, none
190.55308159999998: 192, 31: 31, regular, regular, none, none, none
98.3499776: 96, 16: 16, none, none, regular, regular, none
92.203104: 96, 15: 15, none, none, none, none, regular
98.3499776: 96, 16: 16, none, regular, regular, none, none
92.203104: 96, 15: 15, none, none, none, regular, none
99.2847872: 96, 16: 16, none, regular, none, none, none
93.079488: 96, 15: 15, regular, regular, none, none, none
217.59864: 216, 35: 35, regular, regular, none, none, none
74.4635904: 72, 12: 12, none, regular, none, none, none
93.079488: 96, 15: 15, none, regular, none, none, none
288.35846080000005: 288, 47: 47, regular, none, none, none, none
98.1645824: 96, 16: 16, regular, regular, none, none, none
190.1938784: 192, 31: 31, none, regular, none, none, none
98.1645824: 96, 16: 16, none, none, regular, regular, none
92.029296: 96, 15: 15, none, none, none, none, regular
98.1645824: 96, 16: 16, none, regular, regular, none, none
98.1645824: 96, 16: 16, none, none, none, regular, none
92.551536: 96, 15: 15, none, regular, none, none, none
98.7216384: 96, 16: 16, regular, regular, none, none, none
283.8247104: 288, 46: 46, none, regular, none, none, none
98.7216384: 96, 16: 16, none, regular, none, none, none
289.4476576: 288, 47: 47, regular, none, regular, regular, none
92.37691199999999: 96, 15: 15, regular, none, regular, regular, none
191.2731744: 192, 31: 31, none, regular, regular, none, regular
480.3599424: 480, 78: 78, regular, none, regular, regular, none
98.5353728: 96, 16: 16, regular, none, regular, regular, none
191.2731744: 192, 31: 31, none, regular, regular, none, regular
480.3599424: 480, 78: 78, regular, none, regular, regular, none
766.9108: 768, 125: 125, none, none, regular, none, none
48.990464: 48, 8: 8, none, white, none, none, none
49.0822912: 48, 8: 8, white, none, none, none, none
97.980928: 96, 16: 16, none, regular, none, none, none
93.079488: 96, 15: 15, none, none, regular, none, none
99.09591040000001: 96, 16: 16, none, none, none, regular, none
43.3544608: 48, 7: 7, none, none, none, none, white
49.547955200000004: 48, 8: 8, none, none, white, none, none
287.818976: 288, 47: 47, regular, none, regular, regular, none
97.980928: 96, 16: 16, regular, none, regular, regular, none
189.838048: 192, 31: 31, none, regular, regular, none, regular
480.3599424: 480, 78: 78, regular, none, regular, regular, none
98.5353728: 96, 16: 16, regular, none, regular, regular, none
190.9122848: 192, 31: 31, none, regular, regular, none, regular
476.7617088: 480, 78: 78, none, none, none, none, regular
97.7972736: 96, 16: 16, none, none, none, none, regular
97.7972736: 96, 16: 16, none, none, none, regular, none
91.684944: 96, 15: 15, none, none, regular, none, none
97.7972736: 96, 16: 16, none, regular, none, none, none
97.7972736: 96, 16: 16, none, regular, none, none, none
97.980928: 96, 16: 16, none, none, none, regular, none
91.85712: 96, 15: 15, none, regular, none, none, none
193.8381888: 192, 31: 31, regular, none, regular, regular, none
1345.0823232: 1344, 218: 218, none, none, none, none, regular
49.3608192: 48, 8: 8, none, none, none, white, none
42.5471648: 48, 7: 7, none, none, none, none, white
291.2114688: 288, 48: 48, none, none, none, regular, none
48.5352448: 48, 8: 8, none, none, white, none, none
48.5352448: 48, 8: 8, none, none, none, white, none
285.1445632: 288, 47: 47, none, none, regular, none, none
48.5352448: 48, 8: 8, none, white, none, none, none
48.716288: 48, 8: 8, none, none, white, none, none
194.5013248: 192, 32: 32, none, none, none, regular, none
42.5471648: 48, 7: 7, none, regular, none, none, none
48.6253312: 48, 8: 8, none, none, white, none, none
146.148864: 144, 24: 24, regular, none, none, none, none
237.491904: 240, 39: 39, none, none, none, none, regular
48.716288: 48, 8: 8, none, none, none, white, none
49.0822912: 48, 8: 8, none, none, none, none, white
288.35846080000005: 288, 47: 47, none, none, none, regular, none
49.0822912: 48, 8: 8, none, none, white, none, none
49.0822912: 48, 8: 8, none, none, none, white, none
288.35846080000005: 288, 47: 47, none, none, regular, none, none
42.9470048: 48, 7: 7, none, white, none, none, none
49.0822912: 48, 8: 8, none, none, white, none, none
195.961856: 192, 32: 32, none, none, none, regular, none
42.866656: 48, 7: 7, none, regular, none, none, none
48.990464: 48, 8: 8, none, none, white, none, none
147.2468736: 144, 24: 24, regular, none, none, none, none
238.82851200000002: 240, 39: 39, regular, none, none, none, none
96.89031680000001: 96, 16: 16, none, regular, none, none, none
96.89031680000001: 96, 16: 16, regular, none, none, none, none
96.7110144: 96, 16: 16, none, regular, none, none, none
90.66657599999999: 96, 15: 15, none, none, regular, none, none
387.56126720000003: 384, 64: 64, none, none, none, regular, none
96.89031680000001: 96, 16: 16, none, none, none, regular, none
96.89031680000001: 96, 16: 16, none, none, regular, none, none
90.834672: 96, 15: 15, none, regular, none, none, none
96.89031680000001: 96, 16: 16, regular, none, none, none, none
388.2819584: 384, 64: 64, regular, none, none, none, none
90.834672: 96, 15: 15, none, regular, none, none, none
97.2506624: 96, 16: 16, regular, none, none, none, none
97.432576: 96, 16: 16, none, regular, none, none, none
97.432576: 96, 16: 16, none, none, regular, none, none
382.92448319999994: 384, 63: 63, none, none, regular, none, none
97.432576: 96, 16: 16, none, none, none, regular, none
48.990464: 48, 8: 8, none, none, white, none, none
42.866656: 48, 7: 7, none, none, none, none, white
95.252496: 96, 15: 15, none, none, regular, none, none
101.6026624: 96, 16: 16, none, regular, none, none, none
477.19272000000007: 480, 75: 75, none, regular, none, none, none
95.1251456: 96, 16: 16, none, none, none, regular, none
195.838368: 192, 33: 33, none, none, none, regular, none
94.951936: 96, 16: 16, none, regular, none, none, none
94.951936: 96, 16: 16, none, none, none, regular, none
189.903872: 192, 32: 32, none, regular, none, none, none
95.8232064: 96, 16: 16, regular, none, none, none, none
95.8232064: 96, 16: 16, none, none, regular, none, none
191.6464128: 192, 32: 32, none, none, regular, none, none
95.8232064: 96, 16: 16, regular, none, none, none, none
95.8232064: 96, 16: 16, none, none, regular, none, none
191.9997952: 192, 32: 32, regular, none, none, none, none
95.8232064: 96, 16: 16, none, regular, none, none, none
95.8232064: 96, 16: 16, none, none, none, regular, none
197.6353632: 192, 33: 33, none, none, none, regular, none
95.9998976: 96, 16: 16, none, regular, none, none, none
95.9998976: 96, 16: 16, none, none, none, regular, none
191.6464128: 192, 32: 32, none, regular, none, none, none
95.648256: 96, 16: 16, regular, none, none, none, none
95.648256: 96, 16: 16, none, none, regular, none, none
191.296512: 192, 32: 32, none, none, regular, none, none
95.648256: 96, 16: 16, regular, none, none, none, none
95.648256: 96, 16: 16, none, none, regular, none, none
191.296512: 192, 32: 32, regular, none, none, none, none
96.1765888: 96, 16: 16, none, regular, none, none, none
96.1765888: 96, 16: 16, none, none, none, regular, none
192.3531776: 192, 32: 32, none, none, none, regular, none
95.9998976: 96, 16: 16, none, regular, none, none, none
95.9998976: 96, 16: 16, none, none, none, regular, none
192.3531776: 192, 32: 32, none, regular, none, none, none
95.4733056: 96, 16: 16, regular, none, none, none, none
95.4733056: 96, 16: 16, none, none, regular, none, none
191.296512: 192, 32: 32, none, none, regular, none, none
95.4733056: 96, 16: 16, regular, none, none, none, none
95.4733056: 96, 16: 16, none, none, regular, none, none
196.9136928: 192, 33: 33, regular, none, none, none, none
90.332016: 96, 15: 15, none, regular, regular, none, none
96.35415040000001: 96, 16: 16, none, none, none, regular, none
192.70830080000002: 192, 32: 32, none, none, none, regular, none
96.531712: 96, 16: 16, none, regular, none, none, none
96.531712: 96, 16: 16, none, none, none, regular, none
192.70830080000002: 192, 32: 32, none, regular, none, none, none
98.1645824: 96, 16: 16, regular, none, none, none, none
92.029296: 96, 15: 15, none, none, regular, none, none
196.6999552: 192, 32: 32, none, none, regular, none, none
92.029296: 96, 15: 15, regular, none, none, none, none
98.1645824: 96, 16: 16, none, none, regular, none, none
288.90305920000003: 288, 47: 47, regular, none, regular, regular, none
768.7141055999999: 768, 126: 126, none, regular, regular, none, regular
764.0412: 768, 125: 125, regular, none, none, none, none
96.89031680000001: 96, 16: 16, regular, regular, none, none, none
190.1938784: 192, 31: 31, regular, regular, none, none, none
98.1645824: 96, 16: 16, none, none, regular, regular, none
98.1645824: 96, 16: 16, none, none, regular, regular, none
92.203104: 96, 15: 15, none, regular, regular, none, none
98.3499776: 96, 16: 16, none, regular, regular, none, none
97.7972736: 96, 16: 16, regular, none, none, none, none
91.684944: 96, 15: 15, regular, regular, none, none, none
195.5945472: 192, 32: 32, regular, none, none, none, none
91.684944: 96, 15: 15, regular, none, none, none, none
97.7972736: 96, 16: 16, regular, regular, none, none, none
195.961856: 192, 32: 32, none, regular, none, none, none
91.00358399999999: 96, 15: 15, regular, none, none, none, none
97.0704896: 96, 16: 16, regular, regular, none, none, none
194.1409792: 192, 32: 32, regular, regular, none, none, none
97.0704896: 96, 16: 16, none, none, regular, regular, none
188.0740736: 192, 31: 31, none, regular, regular, none, none
191.2731744: 192, 31: 31, regular, none, none, none, none
98.7216384: 96, 16: 16, regular, regular, none, none, none
191.9983264: 192, 31: 31, regular, none, none, none, none
92.726976: 96, 15: 15, regular, none, none, none, none
98.9087744: 96, 16: 16, regular, regular, none, none, none
191.6357504: 192, 31: 31, regular, none, none, none, none
